"hungarian"	"total"	"low_order_fee.php"	"heading_title"	"Legkevesebb rendelési díj"
"hungarian"	"total"	"low_order_fee.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"low_order_fee.php"	"text_success"	"Rendben, a legkevesebb rendelési díj módosítása megtörtént!"
"hungarian"	"total"	"low_order_fee.php"	"entry_total"	"Legkevesebb rendelés összesen:"
"hungarian"	"total"	"low_order_fee.php"	"entry_fee"	"Díj:"
"hungarian"	"total"	"low_order_fee.php"	"entry_tax_class"	"Adó osztály:"
"hungarian"	"total"	"low_order_fee.php"	"entry_status"	"Állapot"
"hungarian"	"total"	"low_order_fee.php"	"entry_sort_order"	"Sorrend:"
"hungarian"	"total"	"low_order_fee.php"	"error_permission"	"Figyelmeztetés: Az összes legkevesebb rendelési díj módosítása az Ön számára nem engedélyezett!"
"hungarian"	"total"	"sub_total.php"	"heading_title"	"Részösszeg"
"hungarian"	"total"	"sub_total.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"sub_total.php"	"text_success"	"Rendben, Az összes részösszeg módosítása megtörtént!"
"hungarian"	"total"	"sub_total.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"sub_total.php"	"entry_sort_order"	"Sorrend:"
"hungarian"	"total"	"sub_total.php"	"error_permission"	"Figyelmeztetés: Az összes részösszeg módosítása az Ön számára nem engedélyezett!"
"hungarian"	"total"	"total.php"	"heading_title"	"Összeg"
"hungarian"	"total"	"total.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"total.php"	"text_success"	"Rendben, Az összes rendelés módosítása megtörtént!"
"hungarian"	"total"	"total.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"total.php"	"entry_sort_order"	"Sorrend:"
"hungarian"	"total"	"total.php"	"error_permission"	"Figyelmeztetés: Az összes rendelés módosítása az Ön számára nem engedélyezett!"
"hungarian"	"total"	"voucher.php"	"heading_title"	"Ajándékutalvány"
"hungarian"	"total"	"voucher.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"voucher.php"	"text_success"	"Rendben, az ajándékutalvány összesítésének módosítása megtörtént!"
"hungarian"	"total"	"voucher.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"voucher.php"	"entry_sort_order"	"Rendezés:"
"hungarian"	"total"	"voucher.php"	"error_permission"	"Figyelmeztetés: Ön nem jogosult az ajándékutalvány összesítésének módosításához!"
"hungarian"	"total"	"reward.php"	"heading_title"	"Jutalompontok"
"hungarian"	"total"	"reward.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"reward.php"	"text_success"	"Rendben, Ön módosította a jutalompontok összesítését!"
"hungarian"	"total"	"reward.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"reward.php"	"entry_sort_order"	"Sorrend:"
"hungarian"	"total"	"reward.php"	"error_permission"	"Figyelmeztetés: Önnek nincs jogosultsága a jutalompontok összesítésének módosításához!"
"hungarian"	"total"	"credit.php"	"heading_title"	"Üzlet kredit"
"hungarian"	"total"	"credit.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"credit.php"	"text_success"	"Rendben, Ön módosította az üzlet kreditek összesítését!"
"hungarian"	"total"	"credit.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"credit.php"	"entry_sort_order"	"Rendezés:"
"hungarian"	"total"	"credit.php"	"error_permission"	"Figyelmeztetés: Önnek nincs jogosultsága az üzlet kreditek összesítésének módosításához!"
"hungarian"	"total"	"tax.php"	"heading_title"	"Adók"
"hungarian"	"total"	"tax.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"tax.php"	"text_success"	"Rendben, Az összes adó módosítása megtörtént!"
"hungarian"	"total"	"tax.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"tax.php"	"entry_sort_order"	"Sorrend:"
"hungarian"	"total"	"tax.php"	"error_permission"	"Figyelmeztetés: Az összes adó módosítása az Ön számára nem engedélyezett!"
"hungarian"	"total"	"shipping.php"	"heading_title"	"Szállítás"
"hungarian"	"total"	"shipping.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"shipping.php"	"text_success"	"Rendben, A szállítási díj módosítása megtörtént!"
"hungarian"	"total"	"shipping.php"	"entry_estimator"	"Szállítási kalkulátor:"
"hungarian"	"total"	"shipping.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"shipping.php"	"entry_sort_order"	"Sorrend:"
"hungarian"	"total"	"shipping.php"	"error_permission"	"Figyelmeztetés: A szállítási díj módosítása az Ön számára nem engedélyezett!"
"hungarian"	"total"	"handling.php"	"heading_title"	"Kezelési díj"
"hungarian"	"total"	"handling.php"	"text_total"	"Összes"
"hungarian"	"total"	"handling.php"	"text_success"	"Rendben, Ön módosította az összes kezelési költséget!"
"hungarian"	"total"	"handling.php"	"entry_total"	"Összes:"
"hungarian"	"total"	"handling.php"	"entry_fee"	"Díj:"
"hungarian"	"total"	"handling.php"	"entry_tax_class"	"Adó osztály:"
"hungarian"	"total"	"handling.php"	"entry_status"	"Állapot:"
"hungarian"	"total"	"handling.php"	"entry_sort_order"	"Elhelyezkedés:"
"hungarian"	"total"	"handling.php"	"error_permission"	"Figyelmeztetés: Önnek nincs jogosultsága, hogy módosítsa a kezelési költséget!"
"hungarian"	"total"	"coupon.php"	"heading_title"	"Ajándékutalvány"
"hungarian"	"total"	"coupon.php"	"text_total"	"Összes rendelés"
"hungarian"	"total"	"coupon.php"	"text_success"	"Rendben, Ön módosította az ajándékutalványt!"
"hungarian"	"total"	"coupon.php"	"entry_status"	"Állapot:"
